userId,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15
000164d9-8f1a-434c-bfea-442f396a7d9c,StartOver_welcome,,,,,,,,,,,,,,
0001a33c-1dc7-456c-a652-e02557601db0,ChatbotNavi_faq,FAQ,StartOver,Keyfeature,,,,,,,,,,,
00033431-a262-4843-a266-81bfeccc2507,StartOver_welcome,,,,,,,,,,,,,,
00049b49-510e-43f3-86c0-95b098c2c9eb,ePromoter_start,,,,,,,,,,,,,,
00074c85-abe2-446d-a70e-a8f231db2d84,StartOver_welcome,StartOver_welcome,,,,,,,,,,,,,
00075f6b-7611-4288-a6d6-a9387a070323,ePromoter_start,ePromoter_start,ePromoter_start,,,,,,,,,,,,
00090b11-fb0c-47e0-aef6-12da66d27808,StartOver_welcome,,,,,,,,,,,,,,
000b7458-d42d-4e2d-97fc-c4fc4b34fbbb,StartOver,,,,,,,,,,,,,,
000bc2f1-78f1-4f74-a82e-f495a467c9dc,Search_product,StartOver_welcome,StartOver_welcome,StartOver,,,,,,,,,,,
00102836-b225-4b6b-be29-9d02d6c721d4,StartOver_welcome,,,,,,,,,,,,,,
001115f7-e5b2-4aa6-87ee-299d3c007c87,StartOver_welcome,,,,,,,,,,,,,,
0014d0bd-c1d6-4339-ba26-0b5092e80c0c,StartOver_welcome,,,,,,,,,,,,,,
001bad94-7a35-467d-9344-149e0633bb50,ePromoter_start,,,,,,,,,,,,,,
001c5dfc-08bb-4a4e-b44b-fff5e6c78a7e,StartOver_welcome,StartOver,,,,,,,,,,,,,
001cb258-a53c-477a-8065-7fc6f73a98d9,StartOver_welcome,StartOver,,,,,,,,,,,,,
001fd6d5-2df3-4141-8275-6589af93b9f4,ePromoter_ing,,,,,,,,,,,,,,
0021d940-471d-4c63-a6dc-3d9b44069755,smalltalk,Search_product,Search_product,ePromoter_ing,chatbot_to_ePromoter,ePromoter_start,ePromoter_end,,,,,,,,
0021e0c6-3486-4183-ad09-b40df6fc773c,StartOver_welcome,StartOver,FAQ,fallback,,,,,,,,,,,
